12	1.3738	0.0351	-0.0589
12.25	1.3702	0.0387	-0.0576
12.5	1.3666	0.0423	-0.0563
12.75	1.3401	0.0484	-0.0554
13	1.3140	0.0545	-0.0545
13.25	1.2925	0.0600	-0.0539
13.75	1.2594	0.0706	-0.0534
14	1.2477	0.0758	-0.0534
14.25	1.2431	0.0811	-0.0538
14.5	1.2392	0.0862	-0.0543
14.75	1.2389	0.0916	-0.0550
15	1.2386	0.0970	-0.0558
15.25	1.2395	0.1027	-0.0568
15.5	1.2397	0.1084	-0.0578
15.75	1.2431	0.1141	-0.0591
16	1.2470	0.1197	-0.0603
16.25	1.2495	0.1247	-0.0614
16.5	1.2525	0.1296	-0.0625
16.75	1.2549	0.1348	-0.0638
17	1.2580	0.1398	-0.0650
17.25	1.2653	0.1443	-0.0662
17.5	1.2718	0.1490	-0.0675
17.75	1.2776	0.1535	-0.0688
18	1.2834	0.1580	-0.0700
18.25	1.2884	0.1627	-0.0715
18.5	1.2946	0.1672	-0.0730
18.75	1.3092	0.1708	-0.0741
19	1.3158	0.1757	-0.0759
19.25	1.3233	0.1803	-0.0776
20	1.3247	0.1948	-0.0880
30	1.1184	0.3808	-0.1908
40	1.0047	0.6088	-0.2464
50	0.8789	0.8509	-0.2924
60	0.7104	1.0775	-0.3348
70	0.4970	1.2610	-0.3736
80	0.2525	1.3787	-0.4070
90	0.0000	1.4160	-0.4324
100	-0.1767	1.3787	-0.4472
110	-0.3479	1.2610	-0.4463
120	-0.4973	1.0775	-0.4342
130	-0.6152	0.8509	-0.4179
140	-0.7033	0.6088	-0.4089
150	-0.7829	0.3808	-0.4284
160	-0.9273	0.1948	-0.5406
170	-0.4636	0.0732	-0.5000
180	0.0000	0.0310	0.0000
