12	1.0980	0.0373	-0.0080
12.25	1.0983	0.0395	-0.0071
12.5	1.0986	0.0418	-0.0064
12.75	1.1018	0.0441	-0.0056
13	1.1041	0.0465	-0.0051
13.25	1.1073	0.0488	-0.0047
13.75	1.1223	0.0530	-0.0040
14	1.1281	0.0554	-0.0039
14.25	1.1354	0.0576	-0.0037
14.5	1.1433	0.0599	-0.0037
14.75	1.1523	0.0620	-0.0036
15	1.1683	0.0641	-0.0036
15.25	1.1707	0.0667	-0.0037
15.5	1.1724	0.0695	-0.0038
15.75	1.1744	0.0724	-0.0041
16	1.1766	0.0752	-0.0044
16.25	1.1780	0.0782	-0.0048
16.5	1.1787	0.0813	-0.0054
16.75	1.1775	0.0847	-0.0062
17	1.1748	0.0884	-0.0072
17.25	1.1712	0.0923	-0.0084
17.5	1.1633	0.0970	-0.0102
17.75	1.1535	0.1022	-0.0125
18	1.1403	0.1083	-0.0155
18.25	1.1219	0.1159	-0.0197
18.5	1.1013	0.1248	-0.0251
18.75	1.0965	0.1312	-0.0287
19	1.0963	0.1347	-0.0308
19.25	1.0976	0.1380	-0.0328
20	1.0822	0.1498	-0.0446
30	0.9775	0.3394	-0.1398
40	0.9190	0.5721	-0.1981
50	0.8282	0.8201	-0.2483
60	0.6833	1.0535	-0.2946
70	0.4853	1.2446	-0.3369
80	0.2496	1.3704	-0.3734
90	0.0000	1.4160	-0.4018
100	-0.1747	1.3704	-0.4152
110	-0.3397	1.2446	-0.4123
120	-0.4783	1.0535	-0.3969
130	-0.5798	0.8201	-0.3754
140	-0.6433	0.5721	-0.3574
150	-0.6842	0.3394	-0.3599
160	-0.7575	0.1498	-0.4316
170	-0.3788	0.0260	-0.5000
180	0.0000	0.0100	0.0000
